"filename", "language", "Properties", "LinkerScript", "C++", "Markdown", "x86 and x86_64 Assembly", "C", "Makefile", "comment", "blank", "total"
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.c", "C", 0, 0, 0, 0, 0, 100, 0, 0, 28, 128
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/mouse.c", "C", 0, 0, 0, 0, 0, 162, 0, 0, 43, 205
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/mouse.h", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 14, 38
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/apic.c", "C", 0, 0, 0, 0, 0, 390, 0, 0, 92, 482
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/apic.h", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 13, 32
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 128, 0, 0, 0, 16, 144
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.c", "C", 0, 0, 0, 0, 0, 616, 0, 0, 94, 710
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.h", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 16, 61
"/home/lexyleinchen/osdev/PrintOS/src/kernel/kernel.c", "C", 0, 0, 0, 0, 0, 59, 0, 0, 3, 62
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/arp/arp.c", "C", 0, 0, 0, 0, 0, 134, 0, 0, 28, 162
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/arp/arp.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/dhcp/dhcp.c", "C", 0, 0, 0, 0, 0, 268, 0, 0, 57, 325
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/dhcp/dhcp.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/icmp/icmp.c", "C", 0, 0, 0, 0, 0, 76, 0, 0, 21, 97
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/icmp/icmp.h", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv4/ipv4.c", "C", 0, 0, 0, 0, 0, 164, 0, 0, 40, 204
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv4/ipv4.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 14, 36
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv6/ipv6.c", "C", 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv6/ipv6.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 7, 22
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/udp/udp.c", "C", 0, 0, 0, 0, 0, 49, 0, 0, 11, 60
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/udp/udp.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/block.c", "C", 0, 0, 0, 0, 0, 70, 0, 0, 23, 93
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/block.h", "C++", 0, 0, 41, 0, 0, 0, 0, 0, 15, 56
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/fat32/fat32.c", "C", 0, 0, 0, 0, 0, 932, 0, 0, 256, 1188
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/fat32/fat32.h", "C++", 0, 0, 52, 0, 0, 0, 0, 0, 17, 69
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/filesystem.c", "C", 0, 0, 0, 0, 0, 64, 0, 0, 20, 84
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/filesystem.h", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 14, 46
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/partition.c", "C", 0, 0, 0, 0, 0, 373, 0, 0, 105, 478
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/partition.h", "C++", 0, 0, 39, 0, 0, 0, 0, 0, 17, 56
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/storage.c", "C", 0, 0, 0, 0, 0, 107, 0, 0, 31, 138
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/storage.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"/home/lexyleinchen/osdev/PrintOS/src/linker.ld", "LinkerScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"/home/lexyleinchen/osdev/PrintOS/src/os/app.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/home/lexyleinchen/osdev/PrintOS/src/os/app_registry.h", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 9, 33
"/home/lexyleinchen/osdev/PrintOS/src/os/desktop.cpp", "C++", 0, 0, 102, 0, 0, 0, 0, 0, 23, 125
"/home/lexyleinchen/osdev/PrintOS/src/os/desktop.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"/home/lexyleinchen/osdev/PrintOS/src/os/font.cpp", "C++", 0, 0, 446, 0, 0, 0, 0, 0, 61, 507
"/home/lexyleinchen/osdev/PrintOS/src/os/font.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"/home/lexyleinchen/osdev/PrintOS/src/os/graphics.cpp", "C++", 0, 0, 84, 0, 0, 0, 0, 1, 23, 108
"/home/lexyleinchen/osdev/PrintOS/src/os/graphics.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 10, 27
"/home/lexyleinchen/osdev/PrintOS/src/os/os.cpp", "C++", 0, 0, 36, 0, 0, 0, 0, 2, 6, 44
"/home/lexyleinchen/osdev/PrintOS/src/os/os.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/home/lexyleinchen/osdev/PrintOS/src/os/os_mouse.cpp", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"/home/lexyleinchen/osdev/PrintOS/src/os/os_mouse.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"/home/lexyleinchen/osdev/PrintOS/src/os/taskbar.cpp", "C++", 0, 0, 72, 0, 0, 0, 0, 2, 16, 90
"/home/lexyleinchen/osdev/PrintOS/src/os/taskbar.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/home/lexyleinchen/osdev/PrintOS/src/os/ui.cpp", "C++", 0, 0, 393, 0, 0, 0, 0, 1, 107, 501
"/home/lexyleinchen/osdev/PrintOS/src/os/ui.h", "C++", 0, 0, 44, 0, 0, 0, 0, 0, 21, 65
"Total", "-", 4, 32, 2519, 117, 235, 5889, 156, 11, 2292, 11255
