"filename", "language", "C++", "Markdown", "x86 and x86_64 Assembly", "C", "Makefile", "comment", "blank", "total"
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/dhcp/dhcp.h", "C++", 13, 0, 0, 0, 0, 0, 7, 20
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/icmp/icmp.c", "C", 0, 0, 0, 76, 0, 0, 21, 97
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/icmp/icmp.h", "C++", 12, 0, 0, 0, 0, 0, 6, 18
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv4/ipv4.c", "C", 0, 0, 0, 164, 0, 0, 40, 204
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv4/ipv4.h", "C++", 22, 0, 0, 0, 0, 0, 14, 36
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv6/ipv6.c", "C", 0, 0, 0, 27, 0, 0, 6, 33
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/ipv6/ipv6.h", "C++", 15, 0, 0, 0, 0, 0, 7, 22
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/udp/udp.c", "C", 0, 0, 0, 49, 0, 0, 11, 60
"/home/lexyleinchen/osdev/PrintOS/src/kernel/network/udp/udp.h", "C++", 13, 0, 0, 0, 0, 0, 7, 20
"/home/lexyleinchen/osdev/PrintOS/src/os/app.h", "C++", 1, 0, 0, 0, 0, 0, 1, 2
"/home/lexyleinchen/osdev/PrintOS/src/os/desktop.cpp", "C++", 102, 0, 0, 0, 0, 0, 23, 125
"/home/lexyleinchen/osdev/PrintOS/src/os/desktop.h", "C++", 6, 0, 0, 0, 0, 0, 4, 10
"/home/lexyleinchen/osdev/PrintOS/src/os/graphics.cpp", "C++", 19, 0, 0, 0, 0, 0, 5, 24
"/home/lexyleinchen/osdev/PrintOS/src/os/taskbar.cpp", "C++", 36, 0, 0, 0, 0, 0, 8, 44
"/home/lexyleinchen/osdev/PrintOS/src/os/ui.cpp", "C++", 109, 0, 0, 0, 0, 0, 31, 140
"/home/lexyleinchen/osdev/PrintOS/src/os/ui.h", "C++", 5, 0, 0, 0, 0, 0, 3, 8
"Total", "-", 519, 11, 130, 2593, 48, 0, 751, 4052
