Date : 2026-09-23 12:35:27
Directory : /mnt/HDD 500GB/Coding/Belqen
Total : 117 files,  11833 codes, 15 comments, 3200 blanks, all 15048 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /mnt/HDD 500GB/Coding/Belqen/src/apps/terminal/terminal.h                          | C++                     |          4 |          0 |          3 |          7 |
| /mnt/HDD 500GB/Coding/Belqen/src/apps/texteditor/texteditor.c                      | C                       |         11 |          0 |          3 |         14 |
| /mnt/HDD 500GB/Coding/Belqen/src/apps/texteditor/texteditor.h                      | C++                     |          4 |          0 |          2 |          6 |
| /mnt/HDD 500GB/Coding/Belqen/src/boot/boot.asm                                     | x86 and x86_64 Assembly |        127 |          5 |         48 |        180 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/boot/multiboot.c                           | C                       |         74 |          0 |         17 |         91 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/boot/multiboot.h                           | C++                     |         13 |          0 |          7 |         20 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/bpe.h                                 | C++                     |         35 |          0 |          6 |         41 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/ipc.c                                 | C                       |        117 |          0 |         31 |        148 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/ipc.h                                 | C++                     |         30 |          0 |         11 |         41 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/loader.c                              | C                       |        140 |          0 |         44 |        184 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/loader.h                              | C++                     |         13 |          0 |          5 |         18 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/log.c                                 | C                       |        168 |          0 |         42 |        210 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/log.h                                 | C++                     |         17 |          0 |         11 |         28 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/process.c                             | C                       |        168 |          0 |         39 |        207 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/process.h                             | C++                     |         46 |          0 |         15 |         61 |
| /mnt/HDD 500GB/Coding/Belqen/src/kernel/core/scheduler.c                           | C                       |        150 |          0 |         42 |        192 |
