"filename", "language", "Markdown", "C++", "LinkerScript", "C", "Properties", "x86 and x86_64 Assembly", "Makefile", "comment", "blank", "total"
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/drivers/ps2/ps2.h", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 11, 28
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/drivers/serial/serial.c", "C", 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/drivers/serial/serial.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 7, 20
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/drivers/usb/usb.c", "C", 0, 0, 0, 725, 0, 0, 0, 0, 167, 892
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/drivers/usb/usb.h", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/framebuffer/framebuffer.c", "C", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/framebuffer/framebuffer.h", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/framebuffer/framebuffer_console.c", "C", 0, 0, 0, 177, 0, 0, 0, 0, 21, 198
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/framebuffer/framebuffer_console.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/inputs/keyboard.c", "C", 0, 0, 0, 100, 0, 0, 0, 0, 28, 128
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/inputs/keyboard.h", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 10, 26
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/inputs/mouse.c", "C", 0, 0, 0, 162, 0, 0, 0, 0, 43, 205
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/inputs/mouse.h", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 14, 38
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/interrupts/apic.c", "C", 0, 0, 0, 389, 0, 0, 0, 1, 92, 482
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/interrupts/apic.h", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 13, 32
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/interrupts/interrupts.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 128, 0, 0, 16, 144
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/interrupts/interrupts.c", "C", 0, 0, 0, 624, 0, 0, 0, 0, 95, 719
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/interrupts/interrupts.h", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 16, 61
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/kernel.c", "C", 0, 0, 0, 78, 0, 0, 0, 0, 4, 82
